Aadesc,Ald_Ant
Amiloride hydrochloride18,1.1
Amiloride10,1.2
Amiloride110,1.3
Amiloride150,1.4
Amiloride18,1.1
Amiloride18Eplerenone23,2.1
Amiloride18Spironolactone23,3.1
Amiloride19,1.5
Amiloride19Spironolactone23,3.2
Amiloride2.5,1.6
Amiloride23,1.7
Amiloride23Spironolactone23,3.3
Amiloride27,1.8
Amiloride36,1.9
Amiloride36Spironolactone23,3.4
Amiloride38,1.11
Amiloride38Eplerenone23,2.2
Amiloride38Eplerenone41,2.3
Amiloride38Spironolactone23,3.5
Amiloride38Spironolactone41,3.6
Amiloride38Spironolactone82,3.7
Amiloride41,1.12
Amiloride5,1.13
Amiloride57,1.14
Amiloride6,1.15
Amiloride6Spironolactone23,3.8
Amiloride72,1.16
Amiloride76,1.17
Amiloride76Spironolactone23,3.9
Amiloride76Spironolactone41,3.11
Amiloride9,1.18
Amiloride9.5Spironolactone41,3.12
Eplerenone12,4.1
Eplerenone12Spironolactone23,5.1
Eplerenone20,4.2
Eplerenone23,4.3
Eplerenone23Spironolactone23,5.2
Eplerenone23Spironolactone41,5.3
Eplerenone41,4.4
Eplerenone41Spironolactone23,5.4
Eplerenone41Spironolactone41,5.5
Eplerenone46,4.5
Eplerenone5.8,4.6
Eplerenone82,4.7
Eplerenone82Spironolactone41,5.6
Spironolactone1,6.1
Spironolactone120,6.2
Spironolactone2,6.3
Spironolactone20,6.4
Spironolactone23,6.5
Spironolactone23Triamterene41,7.1
Spironolactone25,6.6
Spironolactone36,6.7
Spironolactone41,6.8
Spironolactone41Triamterene41,7.2
Spironolactone41Triamterene84,7.3
Spironolactone44,6.9
Spironolactone46,6.11
Spironolactone47,6.12
Spironolactone5,6.13
Spironolactone7,6.14
Spironolactone72,6.15
Spironolactone73,6.16
Spironolactone82,6.17
SpironolactoneNA,6.5
Spolactone23,6.5
Triamterene120,8.1
Triamterene21,8.2
Triamterene41,8.3
Triamterene42,8.4
Triamterene82,8.5
Triamterene84,8.6
