ARBdesc,ARBs
Aliskiren hemifumarate13,1.1
Aliskiren hemifumarate13Candesartan14,2.1
Aliskiren hemifumarate13Candesartan17,2.2
Aliskiren hemifumarate13Candesartan30,2.3
Aliskiren hemifumarate13Candesartan34,2.4
Aliskiren hemifumarate13Irbesartan29,3.1
Aliskiren hemifumarate13Valsartan15,4.1
Aliskiren hemifumarate29,1.2
Aliskiren hemifumarate29Irbesartan29,3.2
Aliskiren hemifumarate29Valsartan15,4.2
Aliskiren13,1.1
Aliskiren13Candesartan28,2.5
Aliskiren13Candesartan30,2.3
Aliskiren13Losartan7,5.1
Aliskiren29Candesartan28,2.6
Bosentan0,NA
Bosentan0Macitentan6,6.1
Bosentan11,7.1
Bosentan22,7.2
Candesartan100,8.1
Candesartan100Losartan14,9.1
Candesartan100Losartan7,9.2
Candesartan14,8.2
Candesartan140,8.3
Candesartan14Eprosartan72,10.1
Candesartan14Irbesartan13,11.1
Candesartan14Irbesartan29,11.2
Candesartan14Losartan7,9.3
Candesartan14Losartan7Valsartan53,12.1
Candesartan14Telmisartan35,13.1
Candesartan14Telmisartan53,13.2
Candesartan14Valsartan15,14.1
Candesartan14Valsartan31,14.2
Candesartan14Valsartan35,14.3
Candesartan14Valsartan53,14.4
Candesartan15,8.4
Candesartan160,8.5
Candesartan17,8.6
Candesartan17Irbesartan29,11.3
Candesartan17Losartan7,9.4
Candesartan17Olmesartan6,15.1
Candesartan17Valsartan53,14.5
Candesartan18,8.7
Candesartan22,8.8
Candesartan28,8.9
Candesartan28Telmisartan35,13.3
Candesartan29,8.11
Candesartan30,8.12
Candesartan30Irbesartan13,11.4
Candesartan30Irbesartan29,11.5
Candesartan30Losartan7,9.5
Candesartan30Valsartan15,14.6
Candesartan30Valsartan53,14.7
Candesartan34,8.13
Candesartan34Irbesartan29,11.6
Candesartan34Irbesartan50,11.7
Candesartan34Losartan7,9.6
Candesartan34Losartan7Valsartan35,12.2
Candesartan34Telmisartan20,13.4
Candesartan34Valsartan18,14.8
Candesartan34Valsartan35,14.9
Candesartan34Valsartan53,14.11
Candesartan34Valsartan70,14.12
Candesartan40,8.14
Candesartan45,8.15
Candesartan5,8.16
Candesartan50,8.17
Candesartan51,8.18
Candesartan52,8.19
Candesartan52Eprosartan72,10.2
Candesartan52Irbesartan29,11.8
Candesartan52Irbesartan50,11.9
Candesartan52Losartan14,9.7
Candesartan52Losartan7,9.8
Candesartan52Olmesartan20,15.2
Candesartan52Telmisartan35,13.5
Candesartan52Telmisartan53,13.6
Candesartan52Valsartan110,14.13
Candesartan52Valsartan53,14.14
Candesartan52Valsartan70,14.15
Candesartan62,8.21
Candesartan67,8.22
Candesartan68,8.23
Candesartan76,8.24
Candesartan78,8.25
Candesartan8.5,8.26
Candesartan86,8.27
Eprosartan29,16.1
Eprosartan36,16.2
Eprosartan48,16.3
Eprosartan58,16.4
Eprosartan72,16.5
Eprosartan72Losartan7,17.1
Eprosartan72Valsartan110,18.1
Irbesartan13,19.1
Irbesartan13Losartan7,20.3
Irbesartan26,19.2
Irbesartan28,19.3
Irbesartan29,19.4
Irbesartan29Losartan14,20.1
Irbesartan29Losartan7,20.2
Irbesartan29Telmisartan35,21.1
Irbesartan29Valsartan35,22.1
Irbesartan29Valsartan53,22.2
Irbesartan50,19.5
Irbesartan61,19.6
Losartan14,23.1
Losartan23,23.2
Losartan28,23.3
Losartan3.5,23.4
Losartan41,23.5
Losartan5,23.6
Losartan7,23.7
Losartan7Telmisartan20,24.1
Losartan7Telmisartan53,24.2
Losartan7Valsartan15,25.1
Losartan7Valsartan35,25.2
Losartan7Valsartan53,25.3
Losartan82,23.8
Olmesartan20,26.1
Olmesartan3.6,26.2
Olmesartan35,26.3
Olmesartan6,26.4
Telmisartan10,27.1
Telmisartan15,27.2
Telmisartan20,27.3
Telmisartan35,27.4
Telmisartan53,27.5
Telmisartan68,27.6
Telmisartan70,27.7
Valsartan1,28.1
Valsartan100,28.2
Valsartan110,28.3
Valsartan15,28.4
Valsartan18,28.5
Valsartan24,28.6
Valsartan31,28.7
Valsartan35,28.8
Valsartan53,28.9
Valsartan68,28.11
Valsartan70,28.12
Valsartan87,28.13
